Question,Ground_Truth,Category
What is plagiarism and how can I prevent it?,Take a look at our library guide search results on Academic Integrity . It includes valuable information plus links to additional resources to help you! We also have tutorials about these topics: Academic Integrity Plagiarism Awareness,FAQ
Can I use Respondus Lockdown Browser on library computers?,"Yes, the Respondus Lockdown Browser is installed on all public library computers at all of our library locations, as well as on computers managed at ASU computing sites. To access it, you need to follow these instructions : In the Windows Search bar in the bottom left corner of the screen, search for ""Lockdown"" (note: searching for ""Respondus"" will not work.) Click on the link for ""Lockdown Browser - Lab Edition"" A ""Choose Server"" pop-up window will appear - select ""Canvas at ASU"" from the drop-down menu. Log in with your ASURITE ID and password when prompted. Your browser should now be locked and you should see your Canvas courses. Navigate to the appropriate course and quiz/test. To exit the Lockdown Browser, click on the red X in the top right hand corner and answer the prompt as appropriate. Please note that all applications, including Lockdown Browser, are managed by the University Technology Office, not ASU Library. If you have questions or are experiencing technical difficulties using the Lockdown Browser, please contact the UTO Experience Center .",FAQ
My instructor wants us to use credible sources. How do I know what's good?,"Many instructors want you to use factual information that appears in reputable scholarly journals or books rather than opinions or unreliable sources found online from an unknown party.  Most of our library databases let you limit your search to scholarly resources, but even those can include opinionated sections that may not be what your instructor wants. First, make sure you know what types of resources are acceptable for your assignment!  Sometimes newspaper articles are acceptable, but sometimes they are not! Book reviews in a scholarly journal may be ok, but maybe not! So check with your instructor or check your syllabus for specific resource types that are allowed or not allowed. Need to learn how to evaluate resources? Read the script or view the tutorial about Evaluating Resources!",FAQ
How do I add people outside of ASU to manage my ASU Research Data Repository datasets?,"With our current ASU Research Data Repository authentication process, only submitters with asu.edu emails can create an account. Anyone outside the university can view and access published collections (known as Dataverses), but cannot directly submit/deposit or manage the metadata. If you have members of your project outside of ASU, you can have them submit their datasets and documentation to a secure sharing space like Google Drive or Dropbox and then upload the files on their behalf. If more direct interaction is desired, ASU sponsors can request that collaborators get an “affiliate ID” (ASURITE) to access ASU systems. The ID expires after one year and has to be renewed by the ASU sponsor at that time. To sponsor and request an ASU ID for your collaborators, fill out the ASU Courtesy Affiliate Request - Add or Renew form . Additional workarounds for research teams may include using the Dataverse API , research notebooks like LabArchives , or the OSF as a collaboration platform, and connecting the OSF to Dataverse (which uses an API token). For information on adding co-owners, see our FAQ entry on adding users or co-owners to my datasets .",FAQ
Does ASU offer any plagiarism checkers?,ASU currently uses Turnitin (TII) as part of the Canvas Classroom Management Software. Instructors - Turnitin must be activated for each assignment. Check ASU’s How to Enable Turnitin for Online Assignments information page! Students - Check your assignment in Canvas to see if Turnitin has been activated.,FAQ
What is the web address (URL) for the ASU Library Catalog?,"From either of these URL locations, use the large search box's dropdown to select : ASU Library Catalog https://search.lib.asu.edu https://lib.asu.edu",FAQ
Do you have any tutorials about general research skills?,Need to learn about general research skills? Here is a list of tutorials designed by our experts to get you started... Developing a Research Question Evaluating Resources Finding and Using Background Research Generating and Using Keywords Introduction to ASU Library Introduction to University Research PICO: Research Questions for Health Sciences Research Guidance Topic Identification and Selection And we have more tutorials to help you! Tutorials web page,FAQ
Are there due dates or fees for interlibrary loan items? Can I renew ILL items?,"Yes, interlibrary loan items have due dates and overdue fees.  These differ depending on the item type and library who is lending the item to you. Due dates For physical items, you can check the due date on the strap attached to the item, or through your ILLiad account .  The average loan period for most physical items is between 4 and 8 weeks. Electronically delivered items like articles and ebooks do not need to be returned.  Your access will automatically expire after 60 days. Overdue fees Most ILL items are free to request, receive, and return. For interlibrary loan items that are not returned by the due date, there is a  there is a $5 per day late fee with a maximum overdue fee of $25, and a default $150.00 replacement fee. The replacement fee may be adjusted depending on the actual cost of the item billed by the library who owns the item.  We have a high overdue fee as many libraries will block us from requesting any materials when their items are returned late. Home Delivery items are shipped FedEx 2 Day, and include a FedEx Ground return label.  You are responsible for overdue, damaged, and lost items. Renewals Renewals are usually not available for interlibrary loan items. To have ILL staff negotiate an extension on a due date with the owning library, please contact us prior to the due date on the item. For more information, contact the ASU Library Interlibrary Loan Department (Monday-Friday, 8am-5pm): (480) 965-3282 Email: ASU-ILL@asu.edu libguides.asu.edu/ill",FAQ
I will be graduating soon. How will that affect my due dates for library materials?,"Congratulations on your graduation from ASU! Due dates: Graduation will not affect the due dates of materials checked out on your library account, even if they are due after graduation. Just remember, once you graduate, you will not be able to renew your library items. Library fees/fines: Yes, delinquent fees for library materials may affect graduation . Library billing contacts, policies, appeals, etc.",FAQ
What do I do if I received the wrong item through Interlibrary Loan?,"For articles: Reply to the original email notice telling us what the problem is and we’ll ask the lending library to send the correct article. If you've deleted the email already, send an email to ASU-ILL@asu.edu .  Be sure to include the TN# (transaction number). For books or other loans: Please return it to Interlibrary Loan as soon as possible and tell us the problem. You can also call or email us, including the TN# and the problem, at (480) 965-3282 or ASU-ILL@asu.edu . The wrong item will be returned to the lending library and the correct one will be reordered. Interlibrary Loan cannot reorder material until it has been checked in and returned to the owning library.",FAQ
How do I get technical help with ASU Library resources?,"Technical help (ASU Library) If you are experiencing technical problems with any library online resource, such as broken links, catalog errors, database* problems, etc. and your attempts to troubleshoot the issue have failed, You can request help at: https://lib.asu.edu/systems/help . Sign in with your ASURITE ID and password Fill out and submit the form One of our technical support staff will respond via email to you as soon as possible. *For ""400 Bad Request: Request Header or Cookie Too Large"" errors when trying to access an article or database , please try the fixes listed in that FAQ before submitting a ticket.",FAQ
How do I cancel a request for a book from another ASU library?,"Want to cancel your request? To cancel a request you made for one of our ASU Library items: From the library home page : https://lib.asu.edu In the black header, pause on: Accounts In the drop-down list, click on: My Library Account Sign-in with your ASURITE ID and password, if prompted. Click on: View Holds Select and cancel the items you no longer want. Or you may call the ASU Library and we will cancel your request for you. Call us at: 480-965-3605",FAQ
"How do I ask the library to purchase or subscribe to a new resource – book, ebook, journal, magazine, database, etc.?",Want to ask the library to purchase or subscribe to a new resource? Suggest a new resource using our request / suggestion form at https://lib.asu.edu/services/request/suggest,FAQ
Does ASU Library have maps or geospatial services?,"Map and Geospatial Hub Our Map and Geospatial Hub advances the use of geographically-referenced information by expanding access to, and support for, cartographic resources and geospatial technologies for the ASU community and beyond. In-person visits are by appointment only. Visit our webpage : Make a service request form.",FAQ
Where can I find a permanent link to an item I found in One Search?,"To find the persistent URL or permalink for a record you found in One Search... In the short display The short display is usually part of your results list as a numbered item (such as the number 3 item in your results list). Along the top right of the short display for the record, look for and click the three dots icon (...). In the resulting list of action options, click on ""permalink"" to display a URL that you can copy and paste for future use . In the full record display From the short record in the results list, click the title of the item until you find the longer full record for the item.  If there were multiple formats listed in the short record, you may need to click on the title in the new numbered list of short records, and then click on the title of an item to get to the full record! Look for the ""Send to"" section of the record to find the permalink. Then click on ""permalink"" to display a URL that you can copy and paste for future use.",FAQ
Can you give me a link to the Index Translationum database?,Here is the link to the Index Translationum database: https://libguides.asu.edu/translationum,Database Link
Can you give me a link to the Arizona Archives Online database?,Here is the link to the Arizona Archives Online database: https://libguides.asu.edu/azarchonline,Database Link
Can you give me a link to the International Bibliography of Theatre & Dance with Full Text database?,Here is the link to the International Bibliography of Theatre & Dance with Full Text database: https://libguides.asu.edu/ibtd,Database Link
Can you give me a link to the CCH AnswerConnect database?,Here is the link to the CCH AnswerConnect database: https://libguides.asu.edu/cchanswerconnect,Database Link
Can you give me a link to the BBC Shakespeare Plays database?,Here is the link to the BBC Shakespeare Plays database: https://libguides.asu.edu/bbcshakespeare,Database Link
Can you give me a link to the Knovel database?,Here is the link to the Knovel database: https://libguides.asu.edu/knovel,Database Link
Can you give me a link to the International Nuclear Information System (INIS) database?,Here is the link to the International Nuclear Information System (INIS) database: https://libguides.asu.edu/inis,Database Link
Can you give me a link to the Black Thought and Culture database?,Here is the link to the Black Thought and Culture database: https://libguides.asu.edu/bltc,Database Link
"Can you give me a link to the Archives of Latin American and Caribbean History, Sixteenth to Twentieth Century (Gale Primary Sources) database?","Here is the link to the Archives of Latin American and Caribbean History, Sixteenth to Twentieth Century (Gale Primary Sources) database: https://libguides.asu.edu/archiveslacarib",Database Link
Can you give me a link to the MIT Press Direct database?,Here is the link to the MIT Press Direct database: https://libguides.asu.edu/mitdirect,Database Link
What are the hours for Law Library on Saturday?,The hours for Law Library on Saturday are: Closed.,Timetable
What are the hours for Data Science and Analytics (by appt only) on Monday?,The hours for Data Science and Analytics (by appt only) on Monday are: -.,Timetable
What are the hours for Ask a Librarian Chat and Text Service on Monday?,The hours for Ask a Librarian Chat and Text Service on Monday are: 8am - 5pm.,Timetable
What are the hours for Wurzburger Reading Room (by appt only) on Saturday?,The hours for Wurzburger Reading Room (by appt only) on Saturday are: -.,Timetable
What are the hours for Polytechnic campus Library on Wednesday?,The hours for Polytechnic campus Library on Wednesday are: 8am - 10pm.,Timetable
What are the hours for Hayden Labriola on Tuesday?,The hours for Hayden Labriola on Tuesday are: 9am - 9pm.,Timetable
