Question,Final URL,Topics,Answer Text
What support does the ASU Library provide for open access publishing?,https://askalibrarian.asu.edu/research/faq/419019,None,"ASU Library can provide waivers or discounts on APCs with certain publishers as a result of our partnerships and subscriptions. Additionally, we manage the ASU Open Access (OA) Publishing Fund, which supports ASU authors who wish to make their scholarly articles freely available immediately upon publication. All current ASU faculty, staff and students are eligible for funds, with a maximum award of $2000 per request. Applications to the fund will open in January 2026. For a complete current list of partnerships and the criteria and application instructions for the OA Publishing Fund, visit our Researcher Support open access publishing and support page. If making your work open access is important to you, you can publish in a traditional journal as long as you retain the rights to self-archive your work in a repository , such as our KEEP institutional repository or a disciplinary repository of choice."
I would like to learn how to manage my research data throughout my project,https://askalibrarian.asu.edu/research/faq/373366,None,"Our Introduction to Research Data Management tutorial is the best place to start. It is a self-paced walkthrough of the essential concepts in research data management, including definitions, effective management, sharing strategies, and other tips to help keep you organized and track your process for reproducibility and recognition for your efforts. We also have a research data management guide , including support options, suggested readings, data management plan writing, and links to data management tutorials. The ASU Research Data Management Office also has additional information, mainly if you are working on a grant-funded project. After checking out these resources, let us know if you have any other questions and if you would like us to add you to an email list for potential workshops and events around research data management and sharing that we will hold in the future."
I'm starting a group research project and have been asked to determine the best way to organize the research that will be done to provide continuity throughout the life of the project. Can you assist by recommending some information management tools?,https://askalibrarian.asu.edu/research/faq/402224,None,"It's great that your team is identifying their research management tools early in the project! There are many possible scenarios for working together as a team, so I'm going to share what I'd personally recommend investigating, but there are of course other options out there, depending on the preferences of your team members. First, I recommend Zotero as a great, collaborative citation manager with options to use as a team. Since it's open source, it's freely available to everyone across institutions, has an active user community and support , and plenty of tools - a web option, browser extensions, and a desktop client - to easily save and share your research review and format bibliographies and citations. There is a paid account option to add storage space, but if that's not in your team's budget, you can pair it with a shared Dropbox folder to store the pdfs or other files to keep the full text handy. Secondly, you might consider using OSF (Open Science Framework) as a project and information management tool for your team. You can sync a variety of storage and other tools in one place (OSF works with Zotero, Dropbox, Google Drive, and more). ASU is an institutional affiliate of OSF, so you can create accounts using your ASURITE log in information to make it easy to get started . OSF also has an active user community with a lot of guidance targeting research groups (for example, this getting started page ) The Citation Management Library Guide includes some other tools for managing your information - both Mendeley and Endnote are proprietary (rather than open source) tools, so will have more limitations on access and use depending on institutional affiliations of all your team members and subscription options. I personally prefer using open source tools when available and possible (and both OSF and Zotero are great tools!)."
How do I print records from the library system?,https://askalibrarian.asu.edu/faq/195102,None,"To print results from One Search or ASU Library Catalog... From the results list, click the dots or ellipses next to a result to see more options. Then, select the printer icon."
"When I tried to renew my library books, it gave me today as the due date. What's wrong?",https://askalibrarian.asu.edu/faq/197825,None,"Please take another look! Your books could be due next year ! If you renewed your books today and it shows today as the due date: Perhaps our library system thinks today is your last day with ASU (as student, faculty or staff). Contact us! so we can check our records!"
What is ILLiad?,https://askalibrarian.asu.edu/faq/203351,None,"​ ILLiad is the online platform used to manage your interlibrary loan requests.  You can use ILLiad to: Create an ILL account Update your user information, including address View electronically delivered items, such as articles Manage your email and text notifications Check the status of your requests And more!  Log in to your ILLiad account at illiad.lib.asu.edu"
What is a DOI?,https://askalibrarian.asu.edu/faq/203429,None,"A DOI is a Digital Object Identifier. It is a unique number that is assigned to an object that provides a persistent link to the object. https://www.doi.org/ This often applies to scholarly journal articles, but can apply to other items. A DOI eliminates issues with changes made to an object’s URL (web address). All DOIs begin with a ""10."" In citation styles, if available, a DOI is usually shown at the end of the citation. DOIs are visible in some databases, but ""hidden"" in others. Not every item nor journal article has a DOI. If you have a DOI, you can try our library Citation Linker to see if we have the article. Citation Linker Here is a link to our Find Articles page."
Who can use interlibrary loan services through ASU Library?,https://askalibrarian.asu.edu/faq/206994,None,"For additional information about ASU Library's Interlibrary Loan service, please visit our guide about using Interlibrary Loan ! Current ASU students, staff, and faculty can make interlibrary loan requests through ASU Library using your Interlibrary Loan ILLiad account . Some ASU students, staff, and faculty may have items delivered to their home addresses instead of an ASU Library. Sandra Day O’Connor College of Law students, faculty and staff can make interlibrary loan requests through ASU’s Ross-Blakley Law Library ."
Why are so many library items located off site in the High Density Collection facility?,https://askalibrarian.asu.edu/faq/345433,None,"To make room for student study spaces and other library services, we have relocated many books to our High Density Collection (HDC) facility, where we already store millions of volumes. HDC includes a patron request fulfillment center, and staff are able to pull books and deliver them to ASU campuses, often within a few hours, and usually within a day or two. Please feel free to use the ""Request ASU Copy"" link in the library item record to request most of these items. There is no limit on these requests for our ASU affiliates."
"Can someone else pick up my interlibrary loan items for me, on my behalf?",https://askalibrarian.asu.edu/faq/206089,None,"Yes, ASU students, faculty and staff may authorize another individual, as a “proxy”, to use their Library account to transact library business in their name. Community card borrowers are not eligible for this service. How to apply To apply for a proxy card, visit our Proxy Accounts page and print the application form. Conditions and agreements It is important to remember the following conditions when requesting this service: The named individual has your permission to use your library account to transact library business in your name. You are responsible for all library materials checked out using your ASU Library account.  This includes proper return to one of the ASU Library and any fines incurred. Proxies must present their own photo ID card and indicate that they are borrowing materials under Proxy at time of checkout. The status of all proxies is reviewed annually in May. Proxy status for all Teaching Assistants expires in May. To renew, submit a new form. You may give someone who is not a designated proxy permission to check out library materials with your ASU ID card. To do so, please have them present their own ID, your ASU ID and a signed, dated, written permission from you. Questions? Please contact the Circulation Department at circ@asu.edu or 480-965-3605 with any questions. More information: https://lib.asu.edu/access/proxy"
How do I access the Bloomberg service in the library?,https://askalibrarian.asu.edu/faq/336888,None,"The Bloomberg Professional Service uses a dedicated computer (no remote access) to provide near real-time access to information on financial markets worldwide. Location: Noble Library 2nd floor, Room 276 Access: Access is by appointment only . ASU students, faculty and staff ONLY! To schedule an appointment, see our Bloomberg guide . Select the guide's calendar link to make an appointment. Check the guide for additional information about using Bloomberg resources!"
I am enrolled in ASU Pathway to Admissions program. Do I have access to all library resources?,https://askalibrarian.asu.edu/faq/392593,None,"Instructors for Earned Admission Learners will provide the resources necessary for students to do their work. Learners will not have access to library resources until they have been admitted to ASU and are registered for at least one credit-earning course. ASU for You is a great place to explore publicly accessible digital learning materials, including books, articles, and other resources available to the public."
What is a microform?,https://askalibrarian.asu.edu/faq/404451,None,"Microforms are scaled-down reproductions of documents, journal issues, monographs, or schemata made for the purposes of transmission, storage, reading, printing, and scanning. Reading, printing, and scanning microforms requires a special reader (or software). Readers and software are available at select ASU Library locations . ASU Library owns microforms in the following formats: microfilm ( film reels) microfiche (film sheets) micro-opaque (stock cards)"
